character,universe,gender
abraham_dusk,wildstorm_universe,male
accelerated_man,earth_19,male
ahn_kwang_jo,prime_earth,male
alec_holland,lego_batman,male
alec_holland,prime_earth,male
alexander_fairchild,wildstorm_universe,male
alexander_luthor,smallville,male
alexander_staunton,prime_earth,male
alexander_trent,new_earth,male
alonzo_malrey,new_earth,male
alton_carver,prime_earth,male
andrew_pulaski,prime_earth,male
anissa_pierce,black_lightning_tv_series,female
antiope,tempest_tossed,female
apollo,wildstorm_universe,male
aquaman,arthur_curry,male
ares,wonder_woman_2_9_movie,male
aristides_demetrios,new_earth,male
artemis,wildstorm_universe,female
arthur_curry,dc_animated_movie_universe,male
asmodel,new_earth,male
aten,new_earth,male
atropos,arrowverse,female
august_heart,arrowverse,male
august_heart,prime_earth,male
augustus_freeman,dakotaverse,male
auron,new_earth,male
avery_ho,future_state,female
balam,prime_earth,male
bane,dc_animated_movie_universe,male
bane,dcau,male
bane,harley_quinn_tv_series,male
bane,hero_run,male
bane,new_earth,male
bane,prime_earth,male
bar_torr,prime_earth,male
baron_reiter,arrowverse,male
barry_allen,arrowverse,male
barry_allen,blackest_day,male
barry_allen,dc_animated_movie_universe,male
barry_allen,dc_extended_universe,male
barry_allen,dc_legends,male
barry_allen,dc_super_hero_girls_tv_series,male
barry_allen,dc_super_hero_girls,male
barry_allen,dc_universe_online,male
barry_allen,dcau,male
barry_allen,dceased,male
barry_allen,doom,male
barry_allen,earth_12,male
barry_allen,earth_22,male
barry_allen,earth_44,male
barry_allen,earth_52,male
barry_allen,earth_43,male
barry_allen,earth_149,male
barry_allen,earth_21,male
barry_allen,earth_31,male
barry_allen,earth_32,male
barry_allen,earth_3839,male
barry_allen,earth_5_8,male
barry_allen,earth_51,male
barry_allen,flash_199_tv_series,male
barry_allen,flashpoint_paradox,male
barry_allen,future_state,male
barry_allen,futures_end,male
barry_allen,harley_quinn_tv_series,male
barry_allen,hero_run,male
barry_allen,injustice,male
barry_allen,justice_league_action,male
barry_allen,lego_batman,male
barry_allen,lego_dc_heroes,male
barry_allen,lil_gotham,male
barry_allen,man_of_tomorrow,male
barry_allen,mortal_kombat_vs_dc_universe,male
barry_allen,new_earth,male
barry_allen,once_and_future,male
barry_allen,the_batman_tv_series,male
barry_allen,the_brave_and_the_bold,male
barry_allen,the_nail,male
barry_allen,the_new_order,male
barry_allen,tiny_titans,male
bart_allen,dc_universe_online,male
bart_allen,dcau,male
bart_allen,dceased,male
bart_allen,earth_16,male
bart_allen,earth_5_8,male
