character,universe,property_name,value
abraham_dusk,wildstorm_universe,marital_status,single
abraham_dusk,wildstorm_universe,gender,male
ahn_kwang_jo,prime_earth,marital_status,single
ahn_kwang_jo,prime_earth,gender,male
alec_holland,lego_batman,marital_status,widowed
alec_holland,lego_batman,gender,male
alec_holland,prime_earth,marital_status,widowed
alec_holland,prime_earth,gender,male
alexander_fairchild,wildstorm_universe,marital_status,single
alexander_fairchild,wildstorm_universe,gender,male
alexander_luthor,smallville,marital_status,divorced
alexander_luthor,smallville,gender,male
alexander_staunton,prime_earth,marital_status,single
alexander_staunton,prime_earth,gender,male
alexander_trent,new_earth,marital_status,single
alexander_trent,new_earth,gender,male
alton_carver,prime_earth,marital_status,single
alton_carver,prime_earth,gender,male
andrew_pulaski,prime_earth,marital_status,single
andrew_pulaski,prime_earth,gender,male
anissa_pierce,black_lightning_tv_series,marital_status,married
anissa_pierce,black_lightning_tv_series,gender,female
antiope,tempest_tossed,marital_status,single
antiope,tempest_tossed,gender,female
apollo,wildstorm_universe,marital_status,married
apollo,wildstorm_universe,gender,male
aquaman,arthur_curry,marital_status,married
aquaman,arthur_curry,gender,male
ares,wonder_woman_2_9_movie,marital_status,single
ares,wonder_woman_2_9_movie,gender,male
aristides_demetrios,new_earth,marital_status,single
aristides_demetrios,new_earth,gender,male
artemis,wildstorm_universe,marital_status,single
artemis,wildstorm_universe,gender,female
arthur_curry,dc_animated_movie_universe,marital_status,single
arthur_curry,dc_animated_movie_universe,gender,male
asmodel,new_earth,marital_status,single
asmodel,new_earth,gender,male
august_heart,prime_earth,marital_status,single
august_heart,prime_earth,gender,male
augustus_freeman,dakotaverse,marital_status,widowed
augustus_freeman,dakotaverse,gender,male
auron,new_earth,marital_status,single
auron,new_earth,gender,male
avery_ho,future_state,marital_status,single
avery_ho,future_state,gender,female
bane,dc_animated_movie_universe,marital_status,single
bane,dc_animated_movie_universe,gender,male
bane,harley_quinn_tv_series,marital_status,single
bane,harley_quinn_tv_series,gender,male
bane,new_earth,marital_status,single
bane,new_earth,gender,male
bane,prime_earth,marital_status,single
bane,prime_earth,gender,male
bar_torr,prime_earth,marital_status,single
bar_torr,prime_earth,gender,male
baron_reiter,arrowverse,marital_status,single
baron_reiter,arrowverse,gender,male
barry_allen,arrowverse,marital_status,married
barry_allen,arrowverse,gender,male
barry_allen,dc_animated_movie_universe,marital_status,engaged
barry_allen,dc_animated_movie_universe,gender,male
barry_allen,dc_extended_universe,marital_status,single
barry_allen,dc_extended_universe,gender,male
barry_allen,dc_super_hero_girls_tv_series,marital_status,single
barry_allen,dc_super_hero_girls_tv_series,gender,male
barry_allen,dc_super_hero_girls,marital_status,single
barry_allen,dc_super_hero_girls,gender,male
barry_allen,dc_universe_online,marital_status,married
barry_allen,dc_universe_online,gender,male
barry_allen,dceased,marital_status,single
barry_allen,dceased,gender,male
barry_allen,doom,marital_status,single
barry_allen,doom,gender,male
barry_allen,earth_43,marital_status,single
barry_allen,earth_43,gender,male
barry_allen,earth_149,marital_status,single
barry_allen,earth_149,gender,male
barry_allen,earth_21,marital_status,engaged
barry_allen,earth_21,gender,male
barry_allen,earth_31,marital_status,married
barry_allen,earth_31,gender,male
barry_allen,earth_32,marital_status,single
barry_allen,earth_32,gender,male
barry_allen,earth_3839,marital_status,single
barry_allen,earth_3839,gender,male
barry_allen,earth_51,marital_status,married
barry_allen,earth_51,gender,male
barry_allen,flash_199_tv_series,marital_status,widowed
barry_allen,flash_199_tv_series,gender,male
barry_allen,flashpoint_paradox,marital_status,married
barry_allen,flashpoint_paradox,gender,male
barry_allen,future_state,marital_status,married
barry_allen,future_state,gender,male
barry_allen,harley_quinn_tv_series,marital_status,single
barry_allen,harley_quinn_tv_series,gender,male
barry_allen,injustice,marital_status,single
barry_allen,injustice,gender,male
barry_allen,justice_league_action,marital_status,single
barry_allen,justice_league_action,gender,male
barry_allen,man_of_tomorrow,marital_status,single
barry_allen,man_of_tomorrow,gender,male
barry_allen,new_earth,marital_status,married
barry_allen,new_earth,gender,male
barry_allen,once_and_future,marital_status,single
barry_allen,once_and_future,gender,male
barry_allen,the_batman_tv_series,marital_status,single
barry_allen,the_batman_tv_series,gender,male
bart_allen,dc_universe_online,marital_status,single
bart_allen,dc_universe_online,gender,male
bart_allen,dcau,marital_status,single
bart_allen,dcau,gender,male
bart_allen,dceased,marital_status,single
bart_allen,dceased,gender,male
bart_allen,earth_16,marital_status,single
bart_allen,earth_16,gender,male
bart_allen,future_state,marital_status,single
bart_allen,future_state,gender,male
bart_allen,lego_batman,marital_status,single
bart_allen,lego_batman,gender,male
bart_allen,new_earth,marital_status,single
bart_allen,new_earth,gender,male
bart_allen,prime_earth,marital_status,single
bart_allen,prime_earth,gender,male
bart_allen,smallville,marital_status,single
bart_allen,smallville,gender,male
bart_allen,titans_tomorrow,marital_status,single
bart_allen,titans_tomorrow,gender,male
bart_allen,world_without_young_justice,marital_status,single
bart_allen,world_without_young_justice,gender,male
