character,universe,marital_status,gender
abraham_dusk,wildstorm_universe,single,male
ahn_kwang_jo,prime_earth,single,male
alec_holland,lego_batman,widowed,male
alec_holland,prime_earth,widowed,male
alexander_fairchild,wildstorm_universe,single,male
alexander_luthor,smallville,divorced,male
alexander_staunton,prime_earth,single,male
alexander_trent,new_earth,single,male
alton_carver,prime_earth,single,male
andrew_pulaski,prime_earth,single,male
anissa_pierce,black_lightning_tv_series,married,female
antiope,tempest_tossed,single,female
apollo,wildstorm_universe,married,male
aquaman,arthur_curry,married,male
ares,wonder_woman_2_9_movie,single,male
aristides_demetrios,new_earth,single,male
artemis,wildstorm_universe,single,female
arthur_curry,dc_animated_movie_universe,single,male
asmodel,new_earth,single,male
august_heart,prime_earth,single,male
augustus_freeman,dakotaverse,widowed,male
auron,new_earth,single,male
avery_ho,future_state,single,female
bane,dc_animated_movie_universe,single,male
bane,harley_quinn_tv_series,single,male
bane,new_earth,single,male
bane,prime_earth,single,male
bar_torr,prime_earth,single,male
baron_reiter,arrowverse,single,male
barry_allen,arrowverse,married,male
barry_allen,dc_animated_movie_universe,engaged,male
barry_allen,dc_extended_universe,single,male
barry_allen,dc_super_hero_girls_tv_series,single,male
barry_allen,dc_super_hero_girls,single,male
barry_allen,dc_universe_online,married,male
barry_allen,dceased,single,male
barry_allen,doom,single,male
barry_allen,earth_43,single,male
barry_allen,earth_149,single,male
barry_allen,earth_21,engaged,male
barry_allen,earth_31,married,male
barry_allen,earth_32,single,male
barry_allen,earth_3839,single,male
barry_allen,earth_51,married,male
barry_allen,flash_199_tv_series,widowed,male
barry_allen,flashpoint_paradox,married,male
barry_allen,future_state,married,male
barry_allen,harley_quinn_tv_series,single,male
barry_allen,injustice,single,male
barry_allen,justice_league_action,single,male
barry_allen,man_of_tomorrow,single,male
barry_allen,new_earth,married,male
barry_allen,once_and_future,single,male
barry_allen,the_batman_tv_series,single,male
bart_allen,dc_universe_online,single,male
bart_allen,dcau,single,male
bart_allen,dceased,single,male
bart_allen,earth_16,single,male
bart_allen,future_state,single,male
bart_allen,lego_batman,single,male
bart_allen,new_earth,single,male
bart_allen,prime_earth,single,male
bart_allen,smallville,single,male
bart_allen,titans_tomorrow,single,male
bart_allen,world_without_young_justice,single,male
bart_allen_clone,titans_tomorrow,single,male
bekka,gods_and_monsters,widowed,female
bekka,new_earth,widowed,female
benjamin_orchard,prime_earth,single,male
