character,universe,n
jason_garrick,earth_2,2
kal_el,earth_1,2
kal_l,earth_1,2
5_chad,prime_earth,1
666,earth_22,1
a_1,prime_earth,1
a_calculus,prime_earth,1
a_hwiirdh_paan_a,new_earth,1
a_m_a_z_o,arrowverse,1
a_monn_a_mokk,new_earth,1
a_morr,new_earth,1
a_mortal,new_earth,1
a_train,the_boys,1
aaron_helzinger,arrowverse,1
aaron_helzinger,new_earth,1
aaron_helzinger,prime_earth,1
aaron_langstrom,new_earth,1
abaddon,earth_s,1
abaddon,new_earth,1
abel,new_earth,1
abel,prime_earth,1
abel_tarrant,green_lantern_animated_series,1
abel_tarrant,new_earth,1
abel_tarrant,prime_earth,1
abigail_arcane,new_earth,1
abigail_arcane,prime_earth,1
abigail_fine,smallville,1
abigail_kent,earth_one,1
abin_sur,prime_earth,1
abnegazar,justice_league_action,1
abnegazar,new_earth,1
abner_krill,new_earth,1
abra_kadabra,arrowverse,1
abraham_attah,prime_earth,1
abraham_dusk,wildstorm_universe,1
abraham_pointe,new_earth,1
absolom,wildstorm_universe,1
abysmus,prime_earth,1
acantha,dc_extended_universe,1
acantha,new_earth,1
accasbel,new_earth,1
ace_arn,new_earth,1
ace_arn,scooby_doo_team_up,1
ace_arn,the_brave_and_the_bold,1
ace_the_bat_hound,krypto_the_superdog,1
ace_the_bat_hound,new_earth,1
acheron,prime_earth,1
achilles,earth_s,1
achilles,new_earth,1
achilles_milo,the_brave_and_the_bold,1
achilles_warkiller,new_earth,1
aclima,new_earth,1
adam_blake,new_earth,1
adam_blake,prime_earth,1
adam_clone,new_earth,1
adam_constantine,vertigo_universe,1
adam_cray,new_earth,1
adam_evans,dcau,1
adam_fells,new_earth,1
adam_heller,blood_and_water,1
adam_kent,created_equal,1
adam_kroft,new_earth,1
adam_sector_1_55,new_earth,1
adam_sharp,new_earth,1
adam_strange,new_earth,1
adam_strange,prime_earth,1
adannu_fuginaut,prime_earth,1
addie_vochs,wildstorm_universe,1
adele_benson,prime_earth,1
adelia_ruskin,prime_earth,1
adeline_kane,new_earth,1
adjudicator,earth_one,1
adnan,prime_earth,1
adrasteia,new_earth,1
adrian_chase,new_earth,1
adrianna_anderson,prime_earth,1
adrianna_tereshkova,the_wild_storm,1
adrianna_tereshkova,wildstorm_universe,1
adrianna_tomaz,flashpoint_timeline,1
adrianna_tomaz,new_earth,1
aella,dc_extended_universe,1
aella,new_earth,1
aerie,dceased,1
aerie,prime_earth,1
agamemno,new_earth,1
agantha,new_earth,1
agent_wax,wildstorm_universe,1
agrippe,new_earth,1
agua_sin_gaaz,new_earth,1
agw,prime_earth,1
ahn_kwang_jo,prime_earth,1
ahri_ahn,new_earth,1
ahriman,new_earth,1
ahti,new_earth,1
ahura_mazda,new_earth,1
ak_var,earth_one,1
akhlut,new_earth,1
akila,new_earth,1
akila_of_bana_mighdall,prime_earth,1
akka,pre_zero_hour,1
al_x,prime_earth,1
aladdin,prime_earth,1
alan_armstrong,earth_s,1
alan_scott,earth_2,1
alan_scott,new_earth,1
alan_scott,prime_earth,1
alastor_faud,pre_zero_hour,1
albert_bloodlines,prime_earth,1
albert_ferrus,wildstorm_universe,1
albert_michaels,prime_earth,1
albert_pratt,new_earth,1
