character,universe,prop_count,page_length,gender
5_chad,prime_earth,8,353757,male
666,earth_22,9,351574,male
a_calculus,prime_earth,7,358364,genderless
a_hwiirdh_paan_a,new_earth,12,368922,female
a_j,new_earth,7,378159,male
a_k_fortesan,izombie_tv_series,8,357892,male
a_m_a_z_o,arrowverse,10,365648,male
a_monn_a_mokk,new_earth,9,380529,male
a_morr,new_earth,10,376944,female
a_mortal,new_earth,12,385568,male
a_train,the_boys,9,356366,male
aagog,prime_earth,6,361287,male
aalok,new_earth,5,350187,male
aarl,pre_zero_hour,6,351817,male
aaron_cash,prime_earth,6,352028,male
aaron_helzinger,arrowverse,9,352670,male
aaron_helzinger,new_earth,9,363799,male
aaron_helzinger,prime_earth,11,366981,male
aaron_langstrom,new_earth,12,355916,male
abaddon,earth_s,8,353918,male
abaddon,new_earth,10,369543,male
abel,new_earth,9,361941,male
abel,prime_earth,7,356159,male
abel_cuvier,dcau,6,359383,male
abel_tarrant,green_lantern_animated_series,9,354898,male
abel_tarrant,new_earth,11,373257,male
abel_tarrant,prime_earth,11,354758,male
abigail,swamp_thing_199_tv_series,6,352252,female
abigail_arcane,new_earth,10,376642,female
abigail_arcane,prime_earth,10,385878,female
abigail_fine,smallville,9,353426,female
abigail_kent,earth_one,7,354742,female
abigail_moorland,new_earth,5,349873,female
abin_sur,prime_earth,13,364223,male
abnegazar,dc_animated_movie_universe,8,350899,male
abnegazar,justice_league_action,9,356056,male
abnegazar,new_earth,11,361240,male
abnegazar,scooby_doo_team_up,8,352498,male
abner_krill,new_earth,9,363848,male
abra_kadabra,arrowverse,9,376856,male
abraham_attah,prime_earth,7,359004,male
abraham_dusk,wildstorm_universe,8,360879,male
abraham_langstrom,prime_earth,7,359006,male
abraham_pointe,new_earth,8,360381,male
abraxis,new_earth,8,358002,male
absolom,wildstorm_universe,9,353301,male
abysmus,prime_earth,7,355902,male
abyss,new_earth,8,351100,male
abyssal_dark,prime_earth,8,354867,male
abyssma,new_earth,5,352523,male
acantha,dc_extended_universe,10,358747,female
acantha,new_earth,8,357152,female
accasbel,new_earth,5,351101,male
