value,n
111_lbs_5_kg,1
115_lbs_52_kg_1,1
116_lbs_53_kg,1
117_lbs_53_kg,1
118_lbs_54_kg_variable_as_byte,1
11_2_lbs_5_kg,1
11_4,1
11_at_the_shoulder,1
11_lbs_499_kg_1,1
122_lbs_55_kg_9_lbs_as_amy,1
123_lbs_56_kg_1,1
124_lbs_56_kg_2,1
124_lbs_56_kg_3,1
125_lbs_57_kg_215_lbs_in_adult_form,1
125_lbs_57_kg_215lbs_in_adult_form,1
1265_lbs_574_kg,1
126_lbs_57_kg_1,1
129,1
12_lbs_54431_kg,1
131_lbs_59_kg_1,1
1345_lbs_61_kg,1
135_lbs,1
137_lbs_62_kg_1,1
137_lbs_62_kg_2_5lbs_as_blackrock,1
13_bleak_street_in_gotham_city,1
1425_lbs_646_kg,1
145_lbs,1
147_lbs_67_kg_as_son_of_vulcan_215_lbs,1
14_2,1
14_lbs_64_kg_35_lbs_with_experimental_venom,1
14_lbs_64_kg_as_buddy_blank_5_lbs_as_omac,1
14_lbs_6_kg,1
151_lbs_68_kg,1
153_lbs_69_kg,1
154_lbs_7_kg_1,1
155_lbs_7_kg_726lbs,1
1568_lbs_711_kg,1
1575_lbs_714_kg,1
15_approximately,1
15_lbs_68_kg_3,1
161,1
161_lbs_73_kg_as_stein_2_2_lbs_as_firestorm,1
162_lbs_73_kg_1,1
165,1
165_lbs_748_kg,1
168_lbs_76_kg,1
169_lbs_77_kg_1128_lbs_as_indestructible_man,1
16_lbs_73_kg_1,1
17_lbs_77_kg_86_lbs_in_armor_dead_weight_37_lbs_in_armor_adjusted_weight_1,1
17_lbs_77_kg_walker_725_lbs_loose_cannon,1
18,1
1_1_lbs_46_kg,1
1_2,1
1_3,1
1_45eng_nth_series,1
1_5_lbs_48_kg_1,1
1_6,1
1_7_lbs_49_kg_195_lbs_in_adult_form,1
1_8_lbs_49_kg,1
1_9_lbs_49_kg,1
1_bandit_2_tinker_3_pirate,1
1_citation_needed,1
211_lbs_96_kg,1
2125_lbs_964_kg,1
214_lbs_97_kg,1
215_lbs_975_kg,1
216_lbs_98_kg,1
217_lbs_98_kg,1
218_lbs_99_kg,1
21_west_street_new_york_city,1
21st_century_earth,1
21st_century_formerly_25th_century,1
21st_century_gotham_city,1
222_lbs_1_1_kg,1
228_lbs_1_3_kg,1
22_lbs_1_kg_2,1
22_lbs_1_kg_citation_needed,1
232_lbs_1_5_kg,1
233_lbs_1_6_kg,1
23_4_meters_below_the_earth_s_surface_as_of_1_billion_years_ago,1
254_lbs_115_kg,1
255_lbs_116_kg,1
256_lbs_116_kg_as_peter_porkchops_31_lbs,1
258_lbs_117_kg,1
25_lbs_113_kg_1,1
25_lbs_11_kg_citation_needed,1
25th_century_metropolis,1
264_lbs_12_kg,1
265_lbs_12_kg,1
265_lbs_12_kg_1,1
267_lbs_121_kg,1
274_lbs_124_kg,1
277_lbs_126_kg,1
278_lbs_126_kg,1
27th_century,1
285_lbs_129_kg_2,1
286_lbs_13_kg_19_lbs,1
295_lbs_134_kg_189_lbs_formerly,1
297_lbs_135_kg,1
2_1_variable,1
2_2_lbs_92_kg_as_firestorm_179_lbs_as_raymond,1
2_5_lbs_93_kg_1,1
2_6,1
2_8,1
2_9_lbs_95_kg,1
2_committee,1
2_committee_suicide_squad,1
2_committee_suicide_squad_kobra_cult,1
2_d_man,1
2_lbs_9_kg,1
2_th_century_el_paso_3_th_century_takron_galtos,1
2_th_century_hercules_roger_tate,1
2_unnamed_older_brothers,1
31st_century_earth_legion_of_super_heroes_headquarters,1
31st_century_earth_rawl,1
31st_century_new_metropolis,1
327_lbs_148_kg,1
32_lbs_145_kg_1,1
332_lbs_151_kg,1
333,1
333_lbs_151_kg,1
336_lbs_152_kg,1
338_lbs_153_kg,1
343_lbs_156_kg,1
344_clinton_street_metropolis_justice_league_satellite_fortress_of_solitude,1
349_lbs_158_kg,1
34_8,1
3512_lbs_1593_kg,1
359_lbs_163_kg,1
35_lbs_159_kg_3,1
35_lbs_159_kg_425_lbs_193_kg_with_venom,1
35_lbs_16_kg,1
36,1
36_lbs_16_kg,1
372_lbs_169_kg,1
375_lbs_17_kg,1
375_lbs_17_kg_2,1
379_lbs_172_kg,1
37_lbs_168_kg,1
396_lbs_18_kg,1
39_lbs_177_kg,1
3_11,1
3_7,1
3_9_at_normal_size,1
3_9_lbs_14_kg,1
3_citation_needed,1
3_lbs_136_kg_2,1
3_stories,1
3_th_century_earth_s,1
3_th_century_htrae,1
3_th_century_metropolis_legion_headquarters,1
3_th_century_metropolis_legion_of_super_heroes_headquarters,1
3_th_centurylegion_of_super_heroes_headquarters,1
41_lbs_186_kg,1
421_lbs_191_kg,1
438_lbs_199_kg,1
441_lbs_2_kg,1
452_lbs_2_5_kg,1
453_lbs_2_5_kg,1
469_lbs_213_kg,1
473_lbs_215_kg,1
479_lbs_217_kg,1
485_lbs_22_kg,1
485_lbs_22_kg_1,1
48_lbs_22_kg,1
4_11,1
4_2,1
4_3,1
4_5_lbs_184_kg,1
4_d,1
4_lbs_1814_kg,1
4_lbs_181_kg_approximated,1
4_lbs_2_kg,1
